title,author,abstract
Gender Disparity In Broadway Sound Design,"Southworth, Tabitha","Sound design is a field that has been historically dominated by men. Especially in the elite Broadway sector, it has been difficult for female sound designers to break in. Carroll College’s She Persisted study collected data on the gender of sound designers of Broadway shows from 2011-2021. I have used this data to compare the number of shows that have run on Broadway to the number of female sound designers who have worked on the Broadway stage over the last ten years. Of the 369 shows that have run on Broadway, twelve have featured female-identifying sound designers. In this project, I have provided several theories as to why sound design might be the most difficult area of theatre for women to break into on a professional level. "
Work and Labor Songs of Butte Montana: An Audio Experience of the Past,"Duff, Arizona; Fregulia, Jeanette; Marchesini, Maren; Cash, Dane","Work and labor songs paint a picture about what life was like for working class people throughout history. In the United States, we have seen songs rise and fall in popularity representing groups of workers, from the coal mines in Kentucky to the striking General Motor workers in Flint, Michigan. While the lyrics and stories of these songs contain deep meaning in their own right, the music and the presentation of the pieces are also a critical aspect in understanding the historical significance of these songs. This project explores the work and labor songs from the mining community of Butte, Montana and what this music, experienced as music, can teach us. Using music books, union pamphlets, and field and audio recordings collected throughout the 20th century, I explore what it sounded like to be a miner. "
Concentration of Metals in Remediated vs Non-Remediated Soils,"Olmes, Nathan; Post, William; Winn, Hannah; O'Sullivan, Joseph; Heiser, Patricia","East Helena, Montana was the site of a lead smelter, operated by ASARCO from 1888-2001, which became a source of heavy metal contamination that was dispersed through surface water, groundwater, soils, and air. The entire city of East Helena became an EPA Superfund site and cleanup of contaminated surface soils began in 2010. In many instances, topsoil was removed from yards and parks, and transported to treatment sites. Prickly Pear Land Trust (PPLT) has acquired several parcels of land and is making efforts to remediate the soil and eventually make it safe for public use. In particular, an 80-acre parcel north of Kennedy Park remained untreated. PPLT has begun remediation efforts using the method of turning soils in order to disperse contamination and reduce the concentration of heavy metals at the surface. This project will assess metals concentrations in surface soils in areas that were previously remediated, are currently undergoing remediation, and along Prickly Pear Creek where soils remain undisturbed. Soil samples from each of these surfaces will be analyzed using X-ray fluorescence spectroscopy (XRF). The data will provide heavy metal concentration in ppm and will be compared with each other as well as baseline surveys conducted before remediation actions. The results of this study will be presented as a map representing metals in surface soils across the study area, as well as comparisons with baseline and nearby remediated areas. This project will assist in overall restoration efforts and will help evaluate the success of remediation. "
Did an Ice Cap Cover the Flint Creek Range?,"Hadley, Ashelynn; Worden, Garrett; Yocum, Natalie; Sater, Shane; Heiser, Patricia","During the last glacial maximum (LGM), glaciers occupied many ranges in the mountain west. In the vicinity of Racetrack Creek and Fred Burr Creek in the Flint Creek Range, west-central Montana, glaciers left clear moraines marking maximum extent into lower valleys on either side of the range. ‘Trimlines’ marking former ice surface suggest that an ice cap might have joined the glaciers at the top of the range. Surficial geologic mapping of the lower Racetrack Creek valley allowed us to reconstruct ice thickness as it exited the range. We then used a mathematical model (based on physical properties of ice, slope, and basal shear stress) to reconstruct former ice surface to the divide. Our model matched closely with the constraining physical data, indicating that a small ice cap fed the two outlet glaciers during the LGM. The ice cap did not completely cover the top of the range, leaving protruding peaks or ‘nunataks’. The glacial equilibrium line altitude (ELA) was 2,130 meters in the Fred Burr Creek valley and 70 meters lower in the Racetrack Creek valley, indicating that ice extended lower on the east of the range. These results provide an important contribution to the understanding of glacial history in the Flint Creek Range and growing body of data on glacial and climate history of the mountain west. The ELA we determined are over 250 meters lower than those previously estimated for this area, suggesting that the local climate was colder and/or wetter than previously interpreted. "
Accessibility Scan of Carroll College,"4) Shepherd, Eliza; Koster, Kami; Wilkinson, Genesis; VanSickle, Emma; Jones, Sadie; Olney, Bridget; Kraut, Grace; Cook, Breanna; Parsley, Kelly","Research done in a national study in 2011 found that only 34 percent of college students with disabilities will complete a 4 year program (NLTS2: Home, n.d.). This is due to numerous issues with accessibility on college campuses. While many colleges support students with physical disabilities, many do so from the standpoint of legal compliance instead of bettering campus and classroom accessibility. Student researchers were concerned about Carroll College's accessibility for people with physical disabilities. They wanted to see how accessible Carroll is, especially from the standpoint of someone who uses a mobility aid. Student researchers conducted interviews, focus groups, and environmental scans, in order to gather results. Interviews showed that Carroll students and faculty thought that prospective students with a preexisting physical disability would not feel comfortable joining the Carroll community due to a lack of accessibility. Environmental scans revealed that even though there are accessible entrances to buildings, they are not realistic for long term or daily use. In Guadalupe Hall specifically, the only way to get to the accessible bathroom on the men’s side is to exit the building, re-enter through the Wellness Center door, take the elevator to the first floor, and use the bathroom by the computer lab. There are no accessible bathrooms for the women’s floors. This research will be used to inform Carroll on ways that campus can be made more accessible, therefore further embodying the mission of “welcoming all persons” as per the mission statement. "
Misguided Praxis: Twitter’s Response to Justine Sacco’s infamous tweet,"Thyssen, Abigail; Hansen, Alan","In 2013, then Senior Director of Corporate Communications at InterActive Corporation (IAC) Justine Sacco said to the 170 people following her on Twitter, “Going to Africa. Hope I don’t get AIDS. Just kidding. I’m white!” This tweet, posted just prior to Sacco boarding her 11-hour flight from London to South Africa to see her father, was trending worldwide and accumulating a great amount of negative attention just six hours later. In this paper, I conduct a critical analysis of this case by taking up the notion of “praxis” – analysis of experience to facilitate reflection and foment change. Not only can we engage in praxis by reflecting on the case of Sacco’s tweet and the firestorm that followed, but we also see how it is that social media users themselves appear to attempt to engage in a kind of praxis, but do so in misguided and ultimately dangerous ways. "
Seasonal Stream Flow Analysis and Channel Stability on Recently Restored Sevenmile Creek - Comparison of Before and After Restoration,"Grigsby, Brady; Vosen, Ryan; Hagengruber, Joe; Quick, Conor; Heiser, Patricia","Sevenmile Creek, located northwest of Helena, Montana had a deeply incised stream channel and altered riparian zone due to historical agriculture influences. Prickly Pear Land Trust began restoration efforts on Sevenmile Creek in the fall of 2017 with a goal of restoring the floodplain and streamside vegetation to positively impact the surrounding ecosystem. The restoration project was divided into four reaches, with upstream Reaches 1 and 2 receiving the least amount of restoration work and were mainly unaltered. Reaches 3 and 4 were the most impacted and incised. In those reaches the old channel was filled and the active channel returned to a more natural form and floodplain. Our study aims to quantify changes in channel form and floodplain before, during and after restoration activity along Reach 4 of Sevenmile Creek. In November 2021, the ES 381 Landscape Analysis class measured four cross-channel profiles along the newly restored Reach 4. These will be compared with similar profiles measured in 2019 before restoration efforts began. Spring floods in 2021 (prior to our fall survey) caused Sevenmile Creek to avulse its new channel in one area encompassed by our survey. The avulsed area was ‘repaired’ in winter 2022. We will conduct several more surveys this spring, before and after spring runoff, to quantify any channel changes and assess the progress and effectiveness of restoration efforts. This study will help assess the success of the restoration project and will allow for a continued examination of the Sevenmile Creek in the coming years. "
Age and Growth Rate of Trees Along Forest-Meadow Ecotones,"Winn, Hannah; Heiser, Patricia","The Forest-Meadow ecotone, a transitional zone between two different plant communities, is common around Montana and especially the eastern flank of the continental divide. These boundaries are often rich in different plant, animal and bird species and could play a role in helping us better understand our forests and how they might respond to climate change. In observing these areas, where slopes change in aspect from north to south, the forest and meadow boundary line is very distinct. In some areas the boundary is more diffuse. We have observed in some areas that trees along the edge of the meadow are noticeably smaller than the ones located in the tree stand. This phenomenon raises a few questions; are these smaller ‘meadow trees’ younger, indicating that the forest is extending out? Or are they older trees under some sort of stress-induced factor that is limiting their growth and the stand boundary is either stable or possibly retreating? My research will take place in a non-grazed forest-meadow ecotone west of Helena, and will be focused on answering these questions which will then hopefully give a better understanding on how these ecotones can help us understand the future of our forests and the effects the change in climate could have on them. "
High Definition Elemental Analysis of Lake Helena Sediments,"Ross, Alison; Graham, Brette; Benjamin, Kevin; Heiser, Patricia","Lake Helena has been impacted by heavy metal contamination as a result of historic mining and ore processing impacts on surrounding streams. Located in the northeastern area of the Helena Valley, Lake Helena is primarily fed by Prickly Pear Creek and Tenmile Creeks, and was formed when Hauser Dam was installed on the Missouri River in the early 1900s. Lake sediment cores are used to study changes in sediments over time, which in turn, reflect climate change as well as human impacts on a landscape. Previous studies, on core samples taken from near the delta on the west end of the lake, focused on flood history. This study uses cores taken from areas where historic wetlands possibly existed, closer to the northeast corner of the lake. These pre-Lake Helena wetlands may provide a longer sediment record (pre-dam), and will examine the lake sediments for differences in heavy metal concentrations pre- and post- mining activity. The Environmental Landscape Analysis class (ES 382) obtained several sediment cores from the NE fishing access of Lake Helena using a Livingston square rod position corer. Using X-ray fluorescence spectroscopy (XRF) the cores will be analyzed at one centimeter intervals to determine the concentrations of heavy metals such as copper, lead, cadmium, nickel, selenium, and iron. These longer cores will then be compared with the previous cores from the west end of the lake. The results of this study will quantify the changes in heavy metal contamination over time and space within the lake. "
Characterization of Metabolomic Profiles of Encapsulated Chondrocytes Exposed to Short-Term Simulated Microgravity: A Pilot Study,"Glimm, Matthew; Bergstrom, Annika; Houske, Eden; Hahn, Alyssa","Mechanical loading of cartilage stimulates chondrocyte metabolism to maintain cartilage integrity. Shifts from physiological loading conditions, such as overloading or reduced loading, can lead to an imbalance in chondrocyte metabolism, leading to early osteoarthritis (OA). This is of particular concern in space, where reduced mechanical forces during prolonged microgravity exposure (10-6 G) could lead to OA and compromise flight crew mobility, resulting in incomplete mission duties. Thus, the goal of this pilot study was to expand our understanding of the risk of developing OA post spaceflight through a deeper understanding of chondrocyte mechanotransduction. To do this, we encapsulated human chondrocytes in an agarose gel of similar stiffness to the pericellular matrix to better stimulate the cartilage microenvironment and exposed these encapsulated chondrocyte constructs to simulated microgravity (SM) using a rotating wall vessel (RWV) bioreactor. We analyzed the response to SM using global metabolomic profiling to gain an untargeted and unbiased view of metabolic shifts. These results suggest that short-term (<4 days) exposure to microgravity does not induce large-scale shifts in chondrocyte metabolism. However, the metabolic shifts that occurred in response to microgravity exposure were consistent with early OA metabolomic profiles in human synovial fluid which could suggest that even short-term exposure to microgravity may lead to the development of OA. This work enhances our ability to study chondrocyte mechanotransduction in SM in vitro by encapsulating chondrocytes in a three-dimensional agarose construct of relevant physiological stiffness that better stimulates the cartilage microenvironment. "
